review,BUL,IT,HR,PM,lead,dong_nghiep,luong_thuong,CSVC,tang_ca,nghi_phep,thoi_viec,bao_hiem,ho_tro_#,cong_viec,dao_tao
"công việc nhàm chán, quy trình cài đặt các phần mềm ngoài danh mục rườm rà lâu lắc. đã vậy còn tăng ca như con chó với lương thấp như cái lùm mía",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Các task được giao từ đầu tuần với chi tiết từng hôm phải làm và cần hoàn thành những gì,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
"cực thích mấy chương trình học trên udacity, udemy và cả mấy khóa sharing kiến thức như data coffee hay các webminar do FPT tổ chức",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
"Tính chuyên nghiệp trong công việc cao, tôi học hỏi được rất nhiều từ các chương trình mentor-mentee ở đây",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
bạn có thể bị bán hoặc gạch tên khỏi dự án bất cứ lúc nào trong khi dự án vẫn tuyển thêm mấy thằng ở đâu đâu và chưa làm cái mẹ gì 🙃 nói cách khác bạn hết giá trị rồi bị mấy thằng sếp bán đi để lấy tiền,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Môi trường làm việc trẻ trung, năng động. Phần lớn là fresher/ junior nên rất vui vẻ và giải trí.",0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
"mạng yếu, kết nối kém",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mình rất hài lòng với cty nhưng mình muốn tìm kiếm một thử thách khác cho bản thân nên đi tìm một môi trường làm việc mới,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
bảo hiểm quá tệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Cty có nhiều chgtr hỗ trợ nhân viên học các cc quốc tế. Có nhiều cơ hội đi onsite theo các dự án làm việc..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
"HR ăn nói cục súc, mất dạy vl",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Đồng nghiệp thân thiện, hỗ trợ nhiệt tình trong công việc",0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
"việc nhiều đến mức người iu em bỏ em luôn gòy các bác ạ. vừa mới ra trường, gồng gánh team các thứ, còn chính sách bóc lột sức lao lộng",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Chào mừng các bạn đến với lò đào tạo thợ code lớn nhất Việt Nam. Phù hợp cho mấy bạn chưa biết gì hoặc học trái ngành nhảy việc lấy thêm kinh nghiệm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
"Phù hợp cho fresher mới ra trường. Tùy từng thời điểm, tùy từng công việc có cần phải OT hay ko. OT được tính tiền làm thêm",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0
"môi trường năng động, training bài bản cho fresher về quy trình và các kỹ năng cơ bản. dự án được làm việc với khách nước ngoài, học hỏi thêm được nhiều từ chuyên ngành để chém gió",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
"vụ VDI, xin cấp VM, virtual machine gì đó thì lâu lắc, các phòng IT đá qua đá lại như trái banh, đéo bên nào nhận trách nhiệm giải quyết, làm ảnh hưởng công việc",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Lương thấp, lên chậm. Ít có cơ hội thể hiện mình. Phòng ban thay đổi liên tục, không biết có phải do các sếp hay đấu đá?",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
"Tăng ca đếu trả tiền. Cái này là cái hãm nhất, quyền lợi cơ bản của người lao động cũng bị tước mất.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
"Task không khó nhưng process với rule rất nhiều, làm sai nộp tiền vào con heo đặt trước mặt bà H",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Network ở FPT chặn quá nhiều website và port, cài đặt Anaconda với pip cũng chỉ được giới hạn một số version, phiên bản. ức chế vl",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lương chưa đến 1000usd thôi thì sống thế đéo nào? tuần nào cũng tăng ca 1-2 lần mà lương vẫn vậy,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"đồng nghiệp vô văn hóa, ý thức cùn",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"công việc stress vl, PM vui tính, hay tấu hài everywhere",0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"tiền bhxh thấp vl ra, thiệt là tệ nếu so với cty tôi đã làm trước đây. thất vọng về bảo hiểm lẫn lương cộ. Điểm sáng duy nhất là PM biết lắng nghe và đồng nghiệp tốt",0.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"ở một tập đoàn lớn như vầy thì phải đặt lợi ích tập thể lên trên cái tôi cá nhân thì ok! nhưng sẽ tốt hơn nếu linh hoạt trong những trường hợp nhạy cảm nào đó, đừng quá cứng nhắc áp đặt",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hợp cho người mới,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
IT nhiệt tình hỗ trợ nhưng cơ chế giữa các phòng và khu vực còn rườm rà các thủ tục,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
" Bên cạnh những đãi ngộ tốt dành cho nhân viên, công ty còn tạo ra các hoạt động để nhân viên có thể thỏa sức phát huy sức mạnh bản thân. Được làm việc trong môi trường với đồng nghiệp thân thiện, tinh thần và trẻ trung năng động - Nơi làm việc hơi xa so với nhà mình nhưng cũng đã có bus - Có thể thay đổi giờ làm tùy thích nên OT là chuyện nhỏ",0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0
"Máy móc tốt, không gian làm việc thoải mái. Mọi người khá thân thiện với nhau. Có lương OT, OT nhiều ít hên xui tuỳ dự án. Chung quy cũng tạm ổn.",0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
Môi trường cực tốt cho những bạn muốn học việc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0
"công việc ở đây áp lực cao, thức khuya làm việc trái múi giờ nên ảnh hưởng sức khỏe và tinh thần",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Hiểu biết đúng đắn về quy trình làm phần mềm. Có cơ hội học hỏi mentor để tăng cường kiến thức chuyên môn, thực sự có cơ hội thăng tiến lên leader (PM hoặc tech lead) nếu làm lâu.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0
